real_x,real_y,real_z,virtual_x,virtual_y,virtual_z
-0.7216781,2.3374,3.094102,-0.08549148,-0.05457556,0.3740158
-0.6140086,2.294941,3.156309,-0.08309066,-0.05531836,0.3733313
-0.7487268,2.32215,3.09466,-0.08239335,-0.05475223,0.3732927
-0.6030148,2.203555,3.219988,-0.0822466,-0.05392909,0.3682321
-0.5117906,2.206257,3.241125,-0.08266774,-0.05483299,0.3693433
-0.6231068,2.245507,3.184607,-0.08186159,-0.05625659,0.3703438
-0.6249937,2.20132,3.210468,-0.07997468,-0.05735922,0.3683168
-0.5783051,2.161217,3.24764,-0.07874244,-0.05774236,0.3671043
-0.7691246,2.304728,3.094969,-0.07891178,-0.05839378,0.373459
-0.7620899,2.250621,3.135046,-0.07757527,-0.05798811,0.3709968
-0.7694742,2.217691,3.154592,-0.07732195,-0.05749929,0.3696172
-0.7811972,2.234409,3.142024,-0.07725212,-0.05783665,0.3716795
-0.7574909,2.210053,3.164527,-0.07663709,-0.05783796,0.3700502
-0.7719516,2.203979,3.167529,-0.07674178,-0.05811751,0.3720782
-0.7321908,2.212528,3.177767,-0.07777664,-0.0588088,0.3737262
-0.6493762,2.198479,3.214674,-0.07927889,-0.05858487,0.3738031
-0.6038768,2.171593,3.248534,-0.08047447,-0.05787134,0.3741939
-0.6036653,2.1905,3.239988,-0.08131349,-0.05773824,0.3761997
-0.5767209,2.193955,3.247668,-0.0820643,-0.05715716,0.3772216
-0.7987724,2.2837,3.116917,-0.08173606,-0.05608869,0.3784497
-0.6548796,2.198636,3.221747,-0.08260986,-0.05470908,0.3747339
-0.5623761,2.191984,3.251043,-0.0824649,-0.05453271,0.3745499
-0.4526626,2.144633,3.303785,-0.08165929,-0.05515468,0.3729817
-0.5695303,2.175287,3.257639,-0.0804286,-0.05569094,0.3739315
-0.5406982,2.187551,3.257549,-0.07903323,-0.05646741,0.3754474
-0.7533424,2.256881,3.151048,-0.0779545,-0.05611575,0.3780544
-0.7531085,2.256365,3.150108,-0.07653254,-0.0570004,0.3783944
-0.7382939,2.234763,3.167935,-0.07550922,-0.05706668,0.3770353
-0.694165,2.235743,3.183674,-0.07512879,-0.05654359,0.3778681
-0.7156079,2.27007,3.154337,-0.07390958,-0.05565393,0.3792813
-0.6732745,2.189176,3.220266,-0.07301781,-0.05395722,0.3749074
-0.6665777,2.241901,3.189499,-0.07316464,-0.05400866,0.377558
-0.6266442,2.187496,3.233971,-0.07379633,-0.05297017,0.3735788
-0.6540595,2.204478,3.211364,-0.07432655,-0.05364913,0.3727604
-0.6747985,2.192551,3.209741,-0.07409811,-0.05399442,0.3710674
-0.6298195,2.206091,3.215191,-0.07558143,-0.05476409,0.3723969
-0.632413,2.240327,3.199354,-0.07605991,-0.05391252,0.3766011
-0.7066533,2.221143,3.189785,-0.07526639,-0.05154872,0.3744895
-0.6474413,2.231356,3.200486,-0.07520846,-0.05041993,0.3739446
-0.5957447,2.274776,3.187236,-0.07629707,-0.0501532,0.3764527
-0.6130649,2.229976,3.209274,-0.07304871,-0.04951483,0.3730395
-0.3967205,2.127314,3.318433,-0.07084018,-0.05060107,0.3684391
-0.4314284,2.211385,3.249689,-0.07090348,-0.05465567,0.3698297
-0.6879588,2.318093,3.105274,-0.06842694,-0.05846566,0.3740872
-0.6284703,2.220362,3.182507,-0.06699309,-0.06019264,0.3674343
