Posicao do objeto 1 Real no Unity: X=-0,7216781, Y=2,3374, Z=3,094102
Posicao do objeto Virtual 1: X=-0,08549148, Y=-0,05457556, Z=0,3740158
Posicao do objeto 1 Real no Unity: X=-0,6140086, Y=2,294941, Z=3,156309
Posicao do objeto Virtual 1: X=-0,08309066, Y=-0,05531836, Z=0,3733313
Posicao do objeto 1 Real no Unity: X=-0,7487268, Y=2,32215, Z=3,09466
Posicao do objeto Virtual 1: X=-0,08239335, Y=-0,05475223, Z=0,3732927
Posicao do objeto 1 Real no Unity: X=-0,6030148, Y=2,203555, Z=3,219988
Posicao do objeto Virtual 1: X=-0,0822466, Y=-0,05392909, Z=0,3682321
Posicao do objeto 1 Real no Unity: X=-0,5117906, Y=2,206257, Z=3,241125
Posicao do objeto Virtual 1: X=-0,08266774, Y=-0,05483299, Z=0,3693433
Posicao do objeto 1 Real no Unity: X=-0,6231068, Y=2,245507, Z=3,184607
Posicao do objeto Virtual 1: X=-0,08186159, Y=-0,05625659, Z=0,3703438
Posicao do objeto 1 Real no Unity: X=-0,6249937, Y=2,20132, Z=3,210468
Posicao do objeto Virtual 1: X=-0,07997468, Y=-0,05735922, Z=0,3683168
Posicao do objeto 1 Real no Unity: X=-0,5783051, Y=2,161217, Z=3,24764
Posicao do objeto Virtual 1: X=-0,07874244, Y=-0,05774236, Z=0,3671043
Posicao do objeto 1 Real no Unity: X=-0,7691246, Y=2,304728, Z=3,094969
Posicao do objeto Virtual 1: X=-0,07891178, Y=-0,05839378, Z=0,373459
Posicao do objeto 1 Real no Unity: X=-0,7620899, Y=2,250621, Z=3,135046
Posicao do objeto Virtual 1: X=-0,07757527, Y=-0,05798811, Z=0,3709968
Posicao do objeto 1 Real no Unity: X=-0,7694742, Y=2,217691, Z=3,154592
Posicao do objeto Virtual 1: X=-0,07732195, Y=-0,05749929, Z=0,3696172
Posicao do objeto 1 Real no Unity: X=-0,7811972, Y=2,234409, Z=3,142024
Posicao do objeto Virtual 1: X=-0,07725212, Y=-0,05783665, Z=0,3716795
Posicao do objeto 1 Real no Unity: X=-0,7574909, Y=2,210053, Z=3,164527
Posicao do objeto Virtual 1: X=-0,07663709, Y=-0,05783796, Z=0,3700502
Posicao do objeto 1 Real no Unity: X=-0,7719516, Y=2,203979, Z=3,167529
Posicao do objeto Virtual 1: X=-0,07674178, Y=-0,05811751, Z=0,3720782
Posicao do objeto 1 Real no Unity: X=-0,7321908, Y=2,212528, Z=3,177767
Posicao do objeto Virtual 1: X=-0,07777664, Y=-0,0588088, Z=0,3737262
Posicao do objeto 1 Real no Unity: X=-0,6493762, Y=2,198479, Z=3,214674
Posicao do objeto Virtual 1: X=-0,07927889, Y=-0,05858487, Z=0,3738031
Posicao do objeto 1 Real no Unity: X=-0,6038768, Y=2,171593, Z=3,248534
Posicao do objeto Virtual 1: X=-0,08047447, Y=-0,05787134, Z=0,3741939
Posicao do objeto 1 Real no Unity: X=-0,6036653, Y=2,1905, Z=3,239988
Posicao do objeto Virtual 1: X=-0,08131349, Y=-0,05773824, Z=0,3761997
Posicao do objeto 1 Real no Unity: X=-0,5767209, Y=2,193955, Z=3,247668
Posicao do objeto Virtual 1: X=-0,0820643, Y=-0,05715716, Z=0,3772216
Posicao do objeto 1 Real no Unity: X=-0,7987724, Y=2,2837, Z=3,116917
Posicao do objeto Virtual 1: X=-0,08173606, Y=-0,05608869, Z=0,3784497
Posicao do objeto 1 Real no Unity: X=-0,6548796, Y=2,198636, Z=3,221747
Posicao do objeto Virtual 1: X=-0,08260986, Y=-0,05470908, Z=0,3747339
Posicao do objeto 1 Real no Unity: X=-0,5623761, Y=2,191984, Z=3,251043
Posicao do objeto Virtual 1: X=-0,0824649, Y=-0,05453271, Z=0,3745499
Posicao do objeto 1 Real no Unity: X=-0,4526626, Y=2,144633, Z=3,303785
Posicao do objeto Virtual 1: X=-0,08165929, Y=-0,05515468, Z=0,3729817
Posicao do objeto 1 Real no Unity: X=-0,5695303, Y=2,175287, Z=3,257639
Posicao do objeto Virtual 1: X=-0,0804286, Y=-0,05569094, Z=0,3739315
