real_x,real_y,real_z,virtual_x,virtual_y,virtual_z
-1.106521,2.495707,2.723775,-0.01638448,-0.05454683,0.6665202
-1.124303,2.508671,2.686111,-0.01682597,-0.05656725,0.6659376
-1.193333,2.521133,2.621333,-0.01603657,-0.05752212,0.6685771
-1.217524,2.556809,2.553318,-0.02058488,-0.06146985,0.6750314
-1.266941,2.563032,2.511833,-0.02322906,-0.06286865,0.6785913
-1.315294,2.570273,2.445144,-0.02825946,-0.06557029,0.6748737
-1.307106,2.56037,2.466435,-0.0270558,-0.06596798,0.6740689
-1.264982,2.544086,2.550185,-0.02599871,-0.06644118,0.681342
-1.253781,2.541043,2.553554,-0.0244835,-0.06783134,0.6795909
-1.237098,2.537523,2.53597,-0.0230372,-0.06958437,0.6687704
-1.204982,2.530524,2.564678,-0.02140152,-0.0699873,0.6669044
-1.146736,2.519675,2.648611,-0.01963687,-0.06868702,0.6752245
-1.093947,2.495965,2.671067,-0.008780301,-0.06437999,0.6564699
-1.069979,2.5062,2.662323,-0.006636977,-0.06115842,0.6515787
-1.139301,2.496792,2.61306,-0.004612863,-0.06000882,0.6443027
-1.116416,2.445777,2.696793,-0.001982689,-0.05807096,0.6395041
-1.164293,2.458778,2.63905,-0.001217544,-0.0572834,0.6368816
-1.123492,2.446424,2.676742,-0.0003367662,-0.0564732,0.6330892
-1.132044,2.443907,2.666346,-0.000238061,-0.05755019,0.6309401
-1.144325,2.447191,2.648028,0.0004912615,-0.05901957,0.6307418
-1.314456,2.46992,2.455588,0.003284395,-0.06017745,0.6252575
-1.328804,2.487978,2.412067,0.003430784,-0.0600009,0.6258229
-1.302399,2.47372,2.456154,0.003999352,-0.05957335,0.6236881
-1.281254,2.460296,2.482086,0.005176067,-0.05875605,0.6177253
-1.223922,2.461734,2.542679,0.008433759,-0.05587775,0.6223465
-1.249077,2.454856,2.523026,0.008918583,-0.05488443,0.6176496
-1.24062,2.425476,2.563385,0.009295642,-0.05465943,0.6127241
-1.215153,2.419101,2.590183,0.009824157,-0.0553897,0.6126179
-1.202222,2.413584,2.603052,0.0107705,-0.05660242,0.6121967
-1.258391,2.418467,2.543005,0.01204139,-0.05790579,0.6107351
-1.260313,2.423459,2.531915,0.01264596,-0.05915284,0.6118245
-1.25773,2.418793,2.539941,0.01261485,-0.05951226,0.6115831
-1.285666,2.432317,2.493578,0.01227307,-0.05972862,0.6110018
-1.311587,2.43357,2.470805,0.01280802,-0.05964136,0.6119758
-1.25786,2.426964,2.524844,0.01279712,-0.05966485,0.6109795
-1.24456,2.429677,2.532779,0.01326126,-0.05948359,0.6115487
-1.282969,2.426105,2.498155,0.01296216,-0.05939537,0.6082371
-1.235725,2.442461,2.521779,0.01244408,-0.05845708,0.6110425
-1.235687,2.451359,2.515682,0.01288062,-0.05748492,0.6134167
-1.269305,2.448061,2.490382,0.01286799,-0.05706191,0.611986
-1.201706,2.427473,2.577538,0.01270938,-0.05681646,0.6117133
-1.248333,2.442799,2.519448,0.01392102,-0.0559575,0.6125524
-1.277,2.451214,2.479806,0.01460844,-0.05556667,0.611864
-1.323032,2.443877,2.444699,0.01579678,-0.05539107,0.6099325
-1.24658,2.456375,2.50239,0.01536852,-0.0549252,0.6137208
-1.257254,2.459951,2.488872,0.01515365,-0.05428231,0.6134408
-1.296531,2.444948,2.477159,0.0154891,-0.05392313,0.6121662
-1.31034,2.464759,2.432129,0.01603609,-0.05294275,0.611766
-1.247761,2.442345,2.52366,0.01640278,-0.05258417,0.6117232
-1.219003,2.433897,2.555495,0.0173226,-0.05255449,0.610446
-1.252963,2.448925,2.50507,0.01748532,-0.05250973,0.6109216
-1.268245,2.446443,2.49668,0.01791984,-0.05140519,0.6101841
-1.210577,2.425632,2.576958,0.0189482,-0.05085015,0.6104892
-1.239981,2.433589,2.539406,0.01946563,-0.05123013,0.6104153
-1.222005,2.43955,2.539937,0.01925635,-0.052302,0.6097739
-1.228508,2.444819,2.527213,0.01959902,-0.05212891,0.610082
-1.25453,2.449912,2.497136,0.01969618,-0.0521726,0.6100295
-1.261545,2.451096,2.485833,0.02043897,-0.05321687,0.6102248
-1.267714,2.467273,2.458811,0.01972443,-0.0541808,0.6129618
-1.27198,2.465262,2.457014,0.01899189,-0.0545907,0.6124244
-1.303658,2.451865,2.448556,0.02015513,-0.05495763,0.6122561
-1.318177,2.459959,2.420625,0.0199334,-0.05531263,0.6123695
-1.27593,2.467181,2.445142,0.01865405,-0.0558731,0.6116987
-1.269831,2.463953,2.452323,0.01818073,-0.05594987,0.6100925
-1.310986,2.465044,2.415414,0.01816517,-0.05545938,0.6104075
-1.283834,2.450886,2.463243,0.01817292,-0.05551499,0.6100347
-1.298133,2.447849,2.450158,0.01804745,-0.0558663,0.6083075
-1.310289,2.452604,2.422549,0.01825446,-0.05699474,0.6064308
-1.397148,2.459512,2.308771,0.01837838,-0.05909717,0.6033835
-1.455322,2.464571,2.227064,0.0184437,-0.05970138,0.6020092
-1.493511,2.456141,2.182778,0.0179109,-0.06039327,0.5976039
