Posicao do objeto Real no Unity: X=-1,106521, Y=2,495707, Z=2,723775
Posicao do objeto Virtual: X=-0,01638448, Y=-0,05454683, Z=0,6665202
Posicao do objeto Real no Unity: X=-1,124303, Y=2,508671, Z=2,686111
Posicao do objeto Virtual: X=-0,01682597, Y=-0,05656725, Z=0,6659376
Posicao do objeto Real no Unity: X=-1,193333, Y=2,521133, Z=2,621333
Posicao do objeto Virtual: X=-0,01603657, Y=-0,05752212, Z=0,6685771
Posicao do objeto Real no Unity: X=-1,217524, Y=2,556809, Z=2,553318
Posicao do objeto Virtual: X=-0,02058488, Y=-0,06146985, Z=0,6750314
Posicao do objeto Real no Unity: X=-1,266941, Y=2,563032, Z=2,511833
Posicao do objeto Virtual: X=-0,02322906, Y=-0,06286865, Z=0,6785913
Posicao do objeto Real no Unity: X=-1,315294, Y=2,570273, Z=2,445144
Posicao do objeto Virtual: X=-0,02825946, Y=-0,06557029, Z=0,6748737
Posicao do objeto Real no Unity: X=-1,307106, Y=2,56037, Z=2,466435
Posicao do objeto Virtual: X=-0,0270558, Y=-0,06596798, Z=0,6740689
Posicao do objeto Real no Unity: X=-1,264982, Y=2,544086, Z=2,550185
Posicao do objeto Virtual: X=-0,02599871, Y=-0,06644118, Z=0,681342
Posicao do objeto Real no Unity: X=-1,253781, Y=2,541043, Z=2,553554
Posicao do objeto Virtual: X=-0,0244835, Y=-0,06783134, Z=0,6795909
Posicao do objeto Real no Unity: X=-1,237098, Y=2,537523, Z=2,53597
Posicao do objeto Virtual: X=-0,0230372, Y=-0,06958437, Z=0,6687704
Posicao do objeto Real no Unity: X=-1,204982, Y=2,530524, Z=2,564678
Posicao do objeto Virtual: X=-0,02140152, Y=-0,0699873, Z=0,6669044
Posicao do objeto Real no Unity: X=-1,146736, Y=2,519675, Z=2,648611
Posicao do objeto Virtual: X=-0,01963687, Y=-0,06868702, Z=0,6752245
Posicao do objeto Real no Unity: X=-1,093947, Y=2,495965, Z=2,671067
Posicao do objeto Virtual: X=-0,008780301, Y=-0,06437999, Z=0,6564699
Posicao do objeto Real no Unity: X=-1,069979, Y=2,5062, Z=2,662323
Posicao do objeto Virtual: X=-0,006636977, Y=-0,06115842, Z=0,6515787
Posicao do objeto Real no Unity: X=-1,139301, Y=2,496792, Z=2,61306
Posicao do objeto Virtual: X=-0,004612863, Y=-0,06000882, Z=0,6443027
Posicao do objeto Real no Unity: X=-1,116416, Y=2,445777, Z=2,696793
Posicao do objeto Virtual: X=-0,001982689, Y=-0,05807096, Z=0,6395041
Posicao do objeto Real no Unity: X=-1,164293, Y=2,458778, Z=2,63905
Posicao do objeto Virtual: X=-0,001217544, Y=-0,0572834, Z=0,6368816
Posicao do objeto Real no Unity: X=-1,123492, Y=2,446424, Z=2,676742
Posicao do objeto Virtual: X=-0,0003367662, Y=-0,0564732, Z=0,6330892
Posicao do objeto Real no Unity: X=-1,132044, Y=2,443907, Z=2,666346
Posicao do objeto Virtual: X=-0,000238061, Y=-0,05755019, Z=0,6309401
Posicao do objeto Real no Unity: X=-1,144325, Y=2,447191, Z=2,648028
Posicao do objeto Virtual: X=0,0004912615, Y=-0,05901957, Z=0,6307418
Posicao do objeto Real no Unity: X=-1,314456, Y=2,46992, Z=2,455588
Posicao do objeto Virtual: X=0,003284395, Y=-0,06017745, Z=0,6252575
Posicao do objeto Real no Unity: X=-1,328804, Y=2,487978, Z=2,412067
Posicao do objeto Virtual: X=0,003430784, Y=-0,0600009, Z=0,6258229
Posicao do objeto Real no Unity: X=-1,302399, Y=2,47372, Z=2,456154
Posicao do objeto Virtual: X=0,003999352, Y=-0,05957335, Z=0,6236881
