Posicao do objeto Real no Unity: X=-0,38938, Y=1,094794, Z=3,564714
Posicao do objeto Virtual: X=-0,07345355, Y=-0,03672472, Z=0,2934927
Posicao do objeto Real no Unity: X=-0,3778474, Y=1,110388, Z=3,566585
Posicao do objeto Virtual: X=-0,07660079, Y=-0,03749701, Z=0,2937826
Posicao do objeto Real no Unity: X=-0,3646225, Y=1,078525, Z=3,568979
Posicao do objeto Virtual: X=-0,07824659, Y=-0,03718382, Z=0,2918022
Posicao do objeto Real no Unity: X=-0,432523, Y=1,112824, Z=3,544852
Posicao do objeto Virtual: X=-0,07953733, Y=-0,03834053, Z=0,2900332
Posicao do objeto Real no Unity: X=-0,4129492, Y=1,096538, Z=3,55186
Posicao do objeto Virtual: X=-0,07955623, Y=-0,03833674, Z=0,2903373
Posicao do objeto Real no Unity: X=-0,2777392, Y=1,152076, Z=3,584302
Posicao do objeto Virtual: X=-0,08013475, Y=-0,03855516, Z=0,2949263
Posicao do objeto Real no Unity: X=-0,2534048, Y=1,144374, Z=3,590663
Posicao do objeto Virtual: X=-0,0794718, Y=-0,04018651, Z=0,2959698
Posicao do objeto Real no Unity: X=-0,1974706, Y=1,081143, Z=3,606082
Posicao do objeto Virtual: X=-0,07420045, Y=-0,03511837, Z=0,2930429
Posicao do objeto Real no Unity: X=-0,1750139, Y=1,086697, Z=3,610187
Posicao do objeto Virtual: X=-0,0766705, Y=-0,03530212, Z=0,2931179
Posicao do objeto Real no Unity: X=-0,2629992, Y=1,144917, Z=3,588844
Posicao do objeto Virtual: X=-0,07683355, Y=-0,03642639, Z=0,2940017
Posicao do objeto Real no Unity: X=-0,2574884, Y=1,140299, Z=3,589185
Posicao do objeto Virtual: X=-0,07808769, Y=-0,03884416, Z=0,2943749
Posicao do objeto Real no Unity: X=-0,2469938, Y=1,094253, Z=3,594935
Posicao do objeto Virtual: X=-0,07922697, Y=-0,04046774, Z=0,2941028
Posicao do objeto Real no Unity: X=-0,2299201, Y=1,100339, Z=3,597471
Posicao do objeto Virtual: X=-0,07930019, Y=-0,03970288, Z=0,2938929
Posicao do objeto Real no Unity: X=-0,2371299, Y=1,11915, Z=3,593407
Posicao do objeto Virtual: X=-0,07968557, Y=-0,04008618, Z=0,2938093
Posicao do objeto Real no Unity: X=-0,3124938, Y=1,126333, Z=3,577461
Posicao do objeto Virtual: X=-0,07790768, Y=-0,03821185, Z=0,2928841
Posicao do objeto Real no Unity: X=-0,2956393, Y=1,139626, Z=3,579056
Posicao do objeto Virtual: X=-0,0779627, Y=-0,03920789, Z=0,2930353
Posicao do objeto Real no Unity: X=-0,2886892, Y=1,11604, Z=3,583386
Posicao do objeto Virtual: X=-0,07898259, Y=-0,04002402, Z=0,2929587
Posicao do objeto Real no Unity: X=-0,2243704, Y=1,084994, Z=3,598436
Posicao do objeto Virtual: X=-0,07844424, Y=-0,04064701, Z=0,2929746
Posicao do objeto Real no Unity: X=-0,2375153, Y=1,100367, Z=3,596465
Posicao do objeto Virtual: X=-0,07834876, Y=-0,04065442, Z=0,2940222
Posicao do objeto Real no Unity: X=-0,2362871, Y=1,088112, Z=3,593715
Posicao do objeto Virtual: X=-0,07849926, Y=-0,04260042, Z=0,2923658
Posicao do objeto Real no Unity: X=-0,2772094, Y=1,083407, Z=3,584995
Posicao do objeto Virtual: X=-0,07840157, Y=-0,04308138, Z=0,2917978
Posicao do objeto Real no Unity: X=-0,3185136, Y=1,105103, Z=3,576032
Posicao do objeto Virtual: X=-0,07767665, Y=-0,0424416, Z=0,2928488
Posicao do objeto Real no Unity: X=-0,3052962, Y=1,099873, Z=3,580333
Posicao do objeto Virtual: X=-0,07699001, Y=-0,0420258, Z=0,2932695
Posicao do objeto Real no Unity: X=-0,2655303, Y=1,131996, Z=3,586444
Posicao do objeto Virtual: X=-0,07640088, Y=-0,04256558, Z=0,2945554
Posicao do objeto Real no Unity: X=-0,2433609, Y=1,077436, Z=3,595803
Posicao do objeto Virtual: X=-0,07733679, Y=-0,04293003, Z=0,2938254
Posicao do objeto Real no Unity: X=-0,2203557, Y=1,079874, Z=3,599406
Posicao do objeto Virtual: X=-0,07645738, Y=-0,04382437, Z=0,2938628
Posicao do objeto Real no Unity: X=-0,2024083, Y=1,066138, Z=3,603299
Posicao do objeto Virtual: X=-0,07719719, Y=-0,0446092, Z=0,2935381
Posicao do objeto Real no Unity: X=-0,2183975, Y=1,049187, Z=3,602762
Posicao do objeto Virtual: X=-0,07697642, Y=-0,04390849, Z=0,2934994
Posicao do objeto Real no Unity: X=-0,2015916, Y=1,042032, Z=3,605668
Posicao do objeto Virtual: X=-0,07636625, Y=-0,04268102, Z=0,2928333
Posicao do objeto Real no Unity: X=-0,2163227, Y=1,078655, Z=3,600399
Posicao do objeto Virtual: X=-0,07639635, Y=-0,04375932, Z=0,2937689
Posicao do objeto Real no Unity: X=-0,1990096, Y=1,060751, Z=3,604765
Posicao do objeto Virtual: X=-0,07663369, Y=-0,04392838, Z=0,2934796
Posicao do objeto Real no Unity: X=-0,2254949, Y=1,06725, Z=3,600686
Posicao do objeto Virtual: X=-0,07618904, Y=-0,0436892, Z=0,2941071
Posicao do objeto Real no Unity: X=-0,1921911, Y=1,055916, Z=3,607225
Posicao do objeto Virtual: X=-0,07575575, Y=-0,04349098, Z=0,2937732
Posicao do objeto Real no Unity: X=-0,2100734, Y=1,041476, Z=3,604681
