real_x,real_y,real_z,virtual_x,virtual_y,virtual_z
0.3157172,1.369805,3.615252,-0.06038369,-0.05258305,0.3288254
0.3160283,1.35231,3.618497,-0.06057723,-0.04979971,0.3273466
0.29726,1.382565,3.614269,-0.06035448,-0.0488282,0.3282368
0.2839743,1.380918,3.617939,-0.06058006,-0.04881209,0.3294766
0.213376,1.391952,3.619373,-0.06169868,-0.04680569,0.3296512
0.1869916,1.409168,3.61639,-0.06245543,-0.04474849,0.3294746
0.2139107,1.430896,3.611136,-0.06221221,-0.04082644,0.3285155
0.2158668,1.43644,3.610116,-0.0624285,-0.04070064,0.32882
0.2174723,1.453866,3.605769,-0.06105775,-0.0404999,0.3289838
0.2202669,1.435985,3.611113,-0.0596561,-0.04081923,0.3292704
0.2329119,1.416728,3.614541,-0.05965936,-0.04011101,0.3282677
0.2141627,1.421397,3.614657,-0.06020255,-0.03839466,0.327952
0.2191162,1.436467,3.61177,-0.06018269,-0.03926679,0.3290523
0.235256,1.440926,3.611594,-0.06011066,-0.03903401,0.329734
0.2429841,1.440724,3.609224,-0.05963254,-0.04042757,0.3290997
0.2154007,1.411312,3.619678,-0.0580741,-0.04006574,0.3297685
0.2629657,1.419252,3.61591,-0.05707707,-0.04076344,0.3299842
0.2895701,1.384961,3.620832,-0.05711599,-0.04169209,0.3289266
0.3020482,1.391422,3.61966,-0.05622013,-0.04138339,0.3293811
0.3033119,1.390498,3.619855,-0.05519672,-0.04167573,0.3294898
0.3171161,1.376574,3.62198,-0.05505557,-0.04248247,0.3293687
0.304629,1.39342,3.620395,-0.05479827,-0.04220685,0.3302939
0.2911229,1.383283,3.620356,-0.05618826,-0.04315987,0.3290026
0.2689477,1.403519,3.619699,-0.05501473,-0.04320693,0.330811
0.3058169,1.418332,3.613725,-0.05227702,-0.0439539,0.3309531
0.3168218,1.395939,3.618856,-0.05108221,-0.0453662,0.3310981
0.3847215,1.356153,3.621832,-0.04955295,-0.04615743,0.3300865
0.3764247,1.345568,3.626823,-0.04876871,-0.04509531,0.3304096
0.3813215,1.357035,3.624961,-0.04849292,-0.04574426,0.3313648
0.3114078,1.381348,3.628946,-0.04547355,-0.04493289,0.3337851
0.3506478,1.383905,3.628091,-0.04189717,-0.04573211,0.334983
