Posicao do objeto 1 Real no Unity: X=0,3157172, Y=1,369805, Z=3,615252
Posicao do objeto Virtual 1: X=-0,06038369, Y=-0,05258305, Z=0,3288254
Posicao do objeto 1 Real no Unity: X=0,3160283, Y=1,35231, Z=3,618497
Posicao do objeto Virtual 1: X=-0,06057723, Y=-0,04979971, Z=0,3273466
Posicao do objeto 1 Real no Unity: X=0,29726, Y=1,382565, Z=3,614269
Posicao do objeto Virtual 1: X=-0,06035448, Y=-0,0488282, Z=0,3282368
Posicao do objeto 1 Real no Unity: X=0,2839743, Y=1,380918, Z=3,617939
Posicao do objeto Virtual 1: X=-0,06058006, Y=-0,04881209, Z=0,3294766
Posicao do objeto 1 Real no Unity: X=0,213376, Y=1,391952, Z=3,619373
Posicao do objeto Virtual 1: X=-0,06169868, Y=-0,04680569, Z=0,3296512
Posicao do objeto 1 Real no Unity: X=0,1869916, Y=1,409168, Z=3,61639
Posicao do objeto Virtual 1: X=-0,06245543, Y=-0,04474849, Z=0,3294746
Posicao do objeto 1 Real no Unity: X=0,2139107, Y=1,430896, Z=3,611136
Posicao do objeto Virtual 1: X=-0,06221221, Y=-0,04082644, Z=0,3285155
Posicao do objeto 1 Real no Unity: X=0,2158668, Y=1,43644, Z=3,610116
Posicao do objeto Virtual 1: X=-0,0624285, Y=-0,04070064, Z=0,32882
Posicao do objeto 1 Real no Unity: X=0,2174723, Y=1,453866, Z=3,605769
Posicao do objeto Virtual 1: X=-0,06105775, Y=-0,0404999, Z=0,3289838
Posicao do objeto 1 Real no Unity: X=0,2202669, Y=1,435985, Z=3,611113
Posicao do objeto Virtual 1: X=-0,0596561, Y=-0,04081923, Z=0,3292704
Posicao do objeto 1 Real no Unity: X=0,2329119, Y=1,416728, Z=3,614541
Posicao do objeto Virtual 1: X=-0,05965936, Y=-0,04011101, Z=0,3282677
Posicao do objeto 1 Real no Unity: X=0,2141627, Y=1,421397, Z=3,614657
Posicao do objeto Virtual 1: X=-0,06020255, Y=-0,03839466, Z=0,327952
Posicao do objeto 1 Real no Unity: X=0,2191162, Y=1,436467, Z=3,61177
Posicao do objeto Virtual 1: X=-0,06018269, Y=-0,03926679, Z=0,3290523
Posicao do objeto 1 Real no Unity: X=0,235256, Y=1,440926, Z=3,611594
Posicao do objeto Virtual 1: X=-0,06011066, Y=-0,03903401, Z=0,329734
Posicao do objeto 1 Real no Unity: X=0,2429841, Y=1,440724, Z=3,609224
Posicao do objeto Virtual 1: X=-0,05963254, Y=-0,04042757, Z=0,3290997
Posicao do objeto 1 Real no Unity: X=0,2154007, Y=1,411312, Z=3,619678
Posicao do objeto Virtual 1: X=-0,0580741, Y=-0,04006574, Z=0,3297685
Posicao do objeto 1 Real no Unity: X=0,2629657, Y=1,419252, Z=3,61591
Posicao do objeto Virtual 1: X=-0,05707707, Y=-0,04076344, Z=0,3299842
Posicao do objeto 1 Real no Unity: X=0,2895701, Y=1,384961, Z=3,620832
Posicao do objeto Virtual 1: X=-0,05711599, Y=-0,04169209, Z=0,3289266
Posicao do objeto 1 Real no Unity: X=0,3020482, Y=1,391422, Z=3,61966
Posicao do objeto Virtual 1: X=-0,05622013, Y=-0,04138339, Z=0,3293811
Posicao do objeto 1 Real no Unity: X=0,3033119, Y=1,390498, Z=3,619855
Posicao do objeto Virtual 1: X=-0,05519672, Y=-0,04167573, Z=0,3294898
Posicao do objeto 1 Real no Unity: X=0,3171161, Y=1,376574, Z=3,62198
Posicao do objeto Virtual 1: X=-0,05505557, Y=-0,04248247, Z=0,3293687
Posicao do objeto 1 Real no Unity: X=0,304629, Y=1,39342, Z=3,620395
Posicao do objeto Virtual 1: X=-0,05479827, Y=-0,04220685, Z=0,3302939
Posicao do objeto 1 Real no Unity: X=0,2911229, Y=1,383283, Z=3,620356
Posicao do objeto Virtual 1: X=-0,05618826, Y=-0,04315987, Z=0,3290026
Posicao do objeto 1 Real no Unity: X=0,2689477, Y=1,403519, Z=3,619699
Posicao do objeto Virtual 1: X=-0,05501473, Y=-0,04320693, Z=0,330811
Posicao do objeto 1 Real no Unity: X=0,3058169, Y=1,418332, Z=3,613725
Posicao do objeto Virtual 1: X=-0,05227702, Y=-0,0439539, Z=0,3309531
Posicao do objeto 1 Real no Unity: X=0,3168218, Y=1,395939, Z=3,618856
Posicao do objeto Virtual 1: X=-0,05108221, Y=-0,0453662, Z=0,3310981
Posicao do objeto 1 Real no Unity: X=0,3847215, Y=1,356153, Z=3,621832
Posicao do objeto Virtual 1: X=-0,04955295, Y=-0,04615743, Z=0,3300865
Posicao do objeto 1 Real no Unity: X=0,3764247, Y=1,345568, Z=3,626823
Posicao do objeto Virtual 1: X=-0,04876871, Y=-0,04509531, Z=0,3304096
Posicao do objeto 1 Real no Unity: X=0,3813215, Y=1,357035, Z=3,624961
Posicao do objeto Virtual 1: X=-0,04849292, Y=-0,04574426, Z=0,3313648
Posicao do objeto 1 Real no Unity: X=0,3114078, Y=1,381348, Z=3,628946
Posicao do objeto Virtual 1: X=-0,04547355, Y=-0,04493289, Z=0,3337851
Posicao do objeto 1 Real no Unity: X=0,3506478, Y=1,383905, Z=3,628091
Posicao do objeto Virtual 1: X=-0,04189717, Y=-0,04573211, Z=0,334983
Posicao do objeto 1 Real no Unity: X=0,379848, Y=1,356189, Z=3,636439
Posicao do objeto Virtual 1: X=-0,03629156, Y=-0,0460614, Z=0,3363622
Posicao do objeto 1 Real no Unity: X=0,6130382, Y=1,2892, Z=3,629216
Posicao do objeto Virtual 1: X=-0,02944599, Y=-0,05183852, Z=0,3385818
Posicao do objeto 1 Real no Unity: X=0,669957, Y=1,256989, Z=3,632226
Posicao do objeto Virtual 1: X=-0,02764879, Y=-0,0534894, Z=0,3411366
Posicao do objeto 1 Real no Unity: X=0,7273422, Y=1,217858, Z=3,630732
Posicao do objeto Virtual 1: X=-0,02580978, Y=-0,05301535, Z=0,3405497
Posicao do objeto 1 Real no Unity: X=0,7571718, Y=1,202203, Z=3,629501
Posicao do objeto Virtual 1: X=-0,02597585, Y=-0,05183537, Z=0,3405575
Posicao do objeto 1 Real no Unity: X=0,7279047, Y=1,223586, Z=3,631598
Posicao do objeto Virtual 1: X=-0,02747486, Y=-0,05206621, Z=0,341339
Posicao do objeto 1 Real no Unity: X=0,7355884, Y=1,204417, Z=3,631295
Posicao do objeto Virtual 1: X=-0,02807613, Y=-0,051613, Z=0,339983
Posicao do objeto 1 Real no Unity: X=0,7149875, Y=1,222796, Z=3,633206
Posicao do objeto Virtual 1: X=-0,02980317, Y=-0,05207081, Z=0,3414471
Posicao do objeto 1 Real no Unity: X=0,6918879, Y=1,24581, Z=3,637064
Posicao do objeto Virtual 1: X=-0,02928214, Y=-0,05058484, Z=0,3432837
Posicao do objeto 1 Real no Unity: X=0,7068554, Y=1,251997, Z=3,634809
Posicao do objeto Virtual 1: X=-0,0283573, Y=-0,04967552, Z=0,3437061
Posicao do objeto 1 Real no Unity: X=0,7438557, Y=1,245767, Z=3,62818
Posicao do objeto Virtual 1: X=-0,02786881, Y=-0,05092987, Z=0,3434339
Posicao do objeto 1 Real no Unity: X=0,7139356, Y=1,24118, Z=3,637556
Posicao do objeto Virtual 1: X=-0,02854055, Y=-0,05197378, Z=0,34506
Posicao do objeto 1 Real no Unity: X=0,6647595, Y=1,24995, Z=3,651481
Posicao do objeto Virtual 1: X=-0,02815475, Y=-0,0472071, Z=0,3470201
Posicao do objeto 1 Real no Unity: X=0,673445, Y=1,304465, Z=3,643503
Posicao do objeto Virtual 1: X=-0,02590349, Y=-0,04230529, Z=0,348273
Posicao do objeto 1 Real no Unity: X=0,7300445, Y=1,308969, Z=3,638123
Posicao do objeto Virtual 1: X=-0,02221184, Y=-0,04088348, Z=0,3501854
Posicao do objeto 1 Real no Unity: X=0,7979996, Y=1,283341, Z=3,630594
Posicao do objeto Virtual 1: X=-0,02056091, Y=-0,0426549, Z=0,3500214
Posicao do objeto 1 Real no Unity: X=0,790246, Y=1,28456, Z=3,631205
Posicao do objeto Virtual 1: X=-0,02016391, Y=-0,04535475, Z=0,350499
Posicao do objeto 1 Real no Unity: X=0,833447, Y=1,233803, Z=3,634134
Posicao do objeto Virtual 1: X=-0,0198213, Y=-0,04714788, Z=0,3509392
Posicao do objeto 1 Real no Unity: X=0,8551695, Y=1,222102, Z=3,632591
Posicao do objeto Virtual 1: X=-0,01979987, Y=-0,04959619, Z=0,352036
Posicao do objeto 1 Real no Unity: X=0,8581737, Y=1,183924, Z=3,638535
Posicao do objeto Virtual 1: X=-0,01966008, Y=-0,05122791, Z=0,3518442
Posicao do objeto 1 Real no Unity: X=0,8671947, Y=1,178416, Z=3,637435
Posicao do objeto Virtual 1: X=-0,01978735, Y=-0,05262882, Z=0,3522469
