real_x,real_y,real_z,virtual_x,virtual_y,virtual_z
-0.38938,1.094794,3.564714,-0.07345355,-0.03672472,0.2934927
-0.3778474,1.110388,3.566585,-0.07660079,-0.03749701,0.2937826
-0.3646225,1.078525,3.568979,-0.07824659,-0.03718382,0.2918022
-0.432523,1.112824,3.544852,-0.07953733,-0.03834053,0.2900332
-0.4129492,1.096538,3.55186,-0.07955623,-0.03833674,0.2903373
-0.2777392,1.152076,3.584302,-0.08013475,-0.03855516,0.2949263
-0.2534048,1.144374,3.590663,-0.0794718,-0.04018651,0.2959698
-0.1974706,1.081143,3.606082,-0.07420045,-0.03511837,0.2930429
-0.1750139,1.086697,3.610187,-0.0766705,-0.03530212,0.2931179
-0.2629992,1.144917,3.588844,-0.07683355,-0.03642639,0.2940017
-0.2574884,1.140299,3.589185,-0.07808769,-0.03884416,0.2943749
-0.2469938,1.094253,3.594935,-0.07922697,-0.04046774,0.2941028
-0.2299201,1.100339,3.597471,-0.07930019,-0.03970288,0.2938929
-0.2371299,1.11915,3.593407,-0.07968557,-0.04008618,0.2938093
-0.3124938,1.126333,3.577461,-0.07790768,-0.03821185,0.2928841
-0.2956393,1.139626,3.579056,-0.0779627,-0.03920789,0.2930353
-0.2886892,1.11604,3.583386,-0.07898259,-0.04002402,0.2929587
-0.2243704,1.084994,3.598436,-0.07844424,-0.04064701,0.2929746
-0.2375153,1.100367,3.596465,-0.07834876,-0.04065442,0.2940222
-0.2362871,1.088112,3.593715,-0.07849926,-0.04260042,0.2923658
-0.2772094,1.083407,3.584995,-0.07840157,-0.04308138,0.2917978
-0.3185136,1.105103,3.576032,-0.07767665,-0.0424416,0.2928488
-0.3052962,1.099873,3.580333,-0.07699001,-0.0420258,0.2932695
-0.2655303,1.131996,3.586444,-0.07640088,-0.04256558,0.2945554
-0.2433609,1.077436,3.595803,-0.07733679,-0.04293003,0.2938254
-0.2203557,1.079874,3.599406,-0.07645738,-0.04382437,0.2938628
-0.2024083,1.066138,3.603299,-0.07719719,-0.0446092,0.2935381
-0.2183975,1.049187,3.602762,-0.07697642,-0.04390849,0.2934994
-0.2015916,1.042032,3.605668,-0.07636625,-0.04268102,0.2928333
-0.2163227,1.078655,3.600399,-0.07639635,-0.04375932,0.2937689
-0.1990096,1.060751,3.604765,-0.07663369,-0.04392838,0.2934796
-0.2254949,1.06725,3.600686,-0.07618904,-0.0436892,0.2941071
-0.1921911,1.055916,3.607225,-0.07575575,-0.04349098,0.2937732
-0.2100734,1.041476,3.604681,-0.07588828,-0.04295236,0.2929296
-0.2483786,1.093488,3.594193,-0.07506269,-0.0427702,0.2944711
-0.244581,1.07825,3.595307,-0.07567543,-0.04256716,0.2936078
